epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4364.85,1.0194,1.53202,1.27424,0.66776,0.66285,0.67437,0.4743,1.08893,1.69312,1.29096,0.00015209,0.00015209,0.00015209
43,4469.21,1.0065,1.51005,1.25962,0.66298,0.66637,0.67253,0.47357,1.09605,1.66104,1.29376,0.000149555,0.000149555,0.000149555
44,4573.4,1.02537,1.52472,1.2823,0.68175,0.65354,0.68041,0.47947,1.08217,1.68226,1.28067,0.000147021,0.000147021,0.000147021
45,4677.11,1.00368,1.50026,1.27032,0.66867,0.68335,0.6798,0.4778,1.09798,1.66476,1.29204,0.000144486,0.000144486,0.000144486
46,4780.77,1.03156,1.51111,1.27552,0.71627,0.65332,0.69086,0.48619,1.07301,1.62986,1.26797,0.000141952,0.000141952,0.000141952
47,4884.08,0.9954,1.47209,1.25659,0.72122,0.66965,0.70142,0.49194,1.07932,1.59584,1.27575,0.000139418,0.000139418,0.000139418
48,4987.65,1.00699,1.46731,1.26827,0.7354,0.66347,0.69605,0.49156,1.06619,1.62868,1.26904,0.000136883,0.000136883,0.000136883
49,5091.08,0.9963,1.46593,1.26213,0.69797,0.67447,0.69324,0.48787,1.09204,1.61049,1.29881,0.000134349,0.000134349,0.000134349
50,5194.75,0.99522,1.44541,1.25842,0.65593,0.69697,0.70514,0.49449,1.08358,1.56604,1.28063,0.000131814,0.000131814,0.000131814
51,5298.59,0.98443,1.43531,1.25531,0.72827,0.64283,0.69853,0.48914,1.06707,1.48227,1.26716,0.00012928,0.00012928,0.00012928
52,5402,0.99297,1.41763,1.2554,0.70941,0.67151,0.69785,0.48887,1.0877,1.48214,1.29165,0.000126746,0.000126746,0.000126746
53,5505.32,0.98658,1.39713,1.25212,0.72243,0.68451,0.71061,0.50308,1.05631,1.48972,1.2721,0.000124211,0.000124211,0.000124211
54,5609.07,0.98526,1.41634,1.24963,0.70925,0.67781,0.69328,0.49031,1.08041,1.47703,1.28764,0.000121677,0.000121677,0.000121677
