epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,10129.6,0.96405,1.20347,1.23655,0.75896,0.728,0.74742,0.53402,1.05888,1.12248,1.30338,0.00015209,0.00015209,0.00015209
43,10371.1,0.98327,1.20479,1.25212,0.76227,0.69165,0.7429,0.54147,1.03803,1.14009,1.2776,0.000149555,0.000149555,0.000149555
44,10612.7,0.96356,1.17056,1.23177,0.7333,0.71468,0.74388,0.53231,1.07539,1.15567,1.29657,0.000147021,0.000147021,0.000147021
45,10854.3,0.96798,1.17682,1.23076,0.73639,0.72308,0.753,0.54607,1.04846,1.12368,1.2806,0.000144486,0.000144486,0.000144486
46,11095.9,0.96787,1.17171,1.23603,0.7488,0.70301,0.74795,0.53445,1.06993,1.11018,1.28635,0.000141952,0.000141952,0.000141952
47,11337.5,0.96547,1.19208,1.23127,0.76648,0.71489,0.75549,0.54184,1.04842,1.12339,1.28813,0.000139418,0.000139418,0.000139418
48,11579.2,0.96002,1.17187,1.23275,0.75595,0.72056,0.76033,0.55345,1.02934,1.10517,1.2748,0.000136883,0.000136883,0.000136883
49,11820.5,0.95126,1.14825,1.22537,0.77046,0.72229,0.76402,0.54858,1.03942,1.09411,1.27121,0.000134349,0.000134349,0.000134349
50,12062.2,0.96374,1.15211,1.23297,0.78181,0.70278,0.75803,0.55241,1.01691,1.08206,1.26246,0.000131814,0.000131814,0.000131814
51,12303.6,0.95611,1.14677,1.22804,0.79335,0.7128,0.75822,0.54715,1.04019,1.07799,1.27598,0.00012928,0.00012928,0.00012928
52,12544.8,0.95679,1.13708,1.23082,0.78531,0.70599,0.75362,0.54454,1.0465,1.09759,1.2829,0.000126746,0.000126746,0.000126746
53,12786.2,0.94939,1.12363,1.22389,0.80995,0.70312,0.75972,0.55455,1.04487,1.06943,1.28886,0.000124211,0.000124211,0.000124211
54,13028.2,0.94712,1.13665,1.22629,0.82092,0.69738,0.76749,0.55054,1.04124,1.06482,1.28585,0.000121677,0.000121677,0.000121677
55,13270,0.94042,1.11409,1.2211,0.79907,0.71735,0.76619,0.55593,1.01461,1.05577,1.25188,0.000119142,0.000119142,0.000119142
56,13511.9,0.93072,1.10955,1.21761,0.76889,0.71718,0.76384,0.55393,1.03127,1.06159,1.26907,0.000116608,0.000116608,0.000116608
57,13753.7,0.93474,1.09066,1.22425,0.7918,0.72011,0.76538,0.5545,1.03051,1.05088,1.27308,0.000114074,0.000114074,0.000114074
58,13995.4,0.91824,1.08364,1.20866,0.78238,0.72751,0.76383,0.55107,1.03488,1.04951,1.27897,0.000111539,0.000111539,0.000111539
59,14236.9,0.9206,1.07014,1.20385,0.80016,0.72786,0.76349,0.55391,1.02724,1.05117,1.26861,0.000109005,0.000109005,0.000109005
60,14478.6,0.93755,1.08249,1.21515,0.78536,0.72469,0.7733,0.5571,1.02699,1.06359,1.26513,0.00010647,0.00010647,0.00010647
61,14720.4,0.92217,1.08264,1.20684,0.78542,0.72617,0.765,0.55472,1.02509,1.0549,1.27743,0.000103936,0.000103936,0.000103936
62,14961.9,0.9271,1.07791,1.21251,0.787,0.74109,0.77602,0.5613,1.01791,1.0322,1.27214,0.000101402,0.000101402,0.000101402
63,15203.6,0.92716,1.06705,1.21447,0.80999,0.72359,0.7677,0.54934,1.02426,1.05886,1.26512,9.88672e-05,9.88672e-05,9.88672e-05
64,15445.2,0.91712,1.04923,1.20076,0.80165,0.73081,0.77556,0.55446,1.02714,1.02836,1.27203,9.63328e-05,9.63328e-05,9.63328e-05
